URL,,,
https://www.w3schools.com/bootstrap/bootstrap_ref_all_classes.asp,,,
,,,
Class,Category,Description,
.active,Tables,Adds a grey background color to the table row (<tr> or table cell (<td>) (same color used on hover),
.active,Navbar,Adds a gray background color to the active link in a default navbar. Adds a black background and a white color to the current link inside an inverted navbar.,
.active,List Groups,Adds a blue background color to the active list item in a list group,
.active,Buttons,"Adds a blue background color to simulate a ""pressed"" button",
.active,Progress Bars,Animates a striped progress bar,
.active,Dropdowns,Adds a blue background color to the active dropdown item in a dropdown,
.active,Pagination,Adds a blue background color to the active pagination link (to highlight the current page),
.affix,Affix,The Affix plugin allows an element to become affixed (locked/sticky) to an area on the page. It toggles position:fixed on and off,
.alert,Alerts,Creates an alert message box,
.alert-danger,Alerts,Red alert box. Indicates a dangerous or potentially negative action,
.alert-dismissible,Alerts,"Together with the .close class, this class is used to close the alert",
.alert-info,Alerts,Light-blue alert box. Indicates some information,
.alert-link,Alerts,Used on links inside alerts to add matching colored links,
.alert-success,Alerts,Green alert box. Indicates a successful or positive action,
.alert-warning,Alerts,Yellow alert box. Indicates caution should be taken with this action,
.badge,Badges,Creates a circular badge (grey circle - often used as a numerical indicator),
.bg-danger,Helpers,Adds a red background color to an element. Represents danger or a negative action,
.bg-info,Helpers,Adds a light-blue background color to an element. Represents some information,
.bg-primary,Helpers,Adds a blue background color to an element. Represents something important,
.bg-success,Helpers,Adds a green background color to an element. Indicates success or a positive action,
.bg-warning,Helpers,Adds a yellow background color to an element. Represents a warning or a negative action,
.breadcrumb,Pagination,A pagination. Indicates the current page's location within a navigational hierarchy,
.btn,Buttons,Creates a basic button (gray background and rounded corners),
.btn-block,Buttons,Creates a block level button that spans the entire width of the parent element,
.btn-danger,Buttons,Red button. Indicates danger or a negative action,
.btn-default,Buttons,Default button. White background and grey border,
.btn-group,Button Groups,Groups buttons together on a single line,
.btn-group-justified,Button Groups,Makes a group of buttons span the entire width of the screen,
.btn-group-lg,Button Groups,Large button group (makes all buttons in a button group larger - increased font-size and padding),
.btn-group-sm,Button Groups,Small button group (makes all buttons in a button group smaller),
.btn-group-xs,Button Groups,Extra small button group (makes all buttons in a button group extra small),
