index,symbol,name,date,isEnabled,type,iexId
1,A,Agilent Technologies Inc.,7/19/2018,TRUE,cs,2
2,AA,Alcoa Corporation,7/19/2018,TRUE,cs,12042
3,AABA,Altaba Inc.,7/19/2018,TRUE,cs,7653
4,AAC,AAC Holdings Inc.,7/19/2018,TRUE,cs,9169
5,AADR,AdvisorShares Dorsey Wright ADR,7/19/2018,TRUE,et,5
6,AAL,American Airlines Group Inc.,7/19/2018,TRUE,cs,8148
7,AAMC,Altisource Asset Management Corp Com,7/19/2018,TRUE,cs,7760
8,AAME,Atlantic American Corporation,7/19/2018,TRUE,cs,7
9,AAN,Aaron's Inc.,7/19/2018,TRUE,cs,8
10,AAOI,Applied Optoelectronics Inc.,7/19/2018,TRUE,cs,7790
11,AAON,AAON Inc.,7/19/2018,TRUE,cs,9
12,AAP,Advance Auto Parts Inc W/I,7/19/2018,TRUE,cs,10
13,AAPL,Apple Inc.,7/19/2018,TRUE,cs,11
14,AAT,American Assets Trust Inc.,7/19/2018,TRUE,cs,12
15,AAU,Almaden Minerals Ltd.,7/19/2018,TRUE,cs,13
16,AAV,Advantage Oil & Gas Ltd,7/19/2018,TRUE,cs,14
17,AAWW,Atlas Air Worldwide Holdings,7/19/2018,TRUE,cs,15
18,AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,7/19/2018,TRUE,et,16
19,AAXN,Axon Enterprise Inc.,7/19/2018,TRUE,cs,6667
20,AB,AllianceBernstein Holding L.P. Units,7/19/2018,TRUE,cs,17
21,ABAC,Renmin Tianli Group Inc.,7/19/2018,TRUE,cs,5129
22,ABAX,ABAXIS Inc.,7/19/2018,TRUE,cs,18
23,ABB,ABB Ltd,7/19/2018,TRUE,cs,19
24,ABBV,AbbVie Inc.,7/19/2018,TRUE,cs,20
25,ABC,AmerisourceBergen Corporation,7/19/2018,TRUE,cs,21
26,ABCB,Ameris Bancorp,7/19/2018,TRUE,cs,22
27,ABCD,Cambium Learning Group Inc.,7/19/2018,TRUE,cs,23
28,ABDC,Alcentra Capital Corp.,7/19/2018,TRUE,cs,8607
29,ABEO,Abeona Therapeutics Inc.,7/19/2018,TRUE,cs,9600
30,ABEOW,,7/19/2018,TRUE,N/A,9607
31,ABEV,Ambev S.A. American Depositary Shares (Each representing 1),7/19/2018,TRUE,cs,36
32,ABG,Asbury Automotive Group Inc,7/19/2018,TRUE,cs,26
33,ABIL,Ability Inc.,7/19/2018,TRUE,cs,10960
34,ABIO,ARCA biopharma Inc.,7/19/2018,TRUE,cs,28
35,ABM,ABM Industries Incorporated,7/19/2018,TRUE,cs,29
36,ABMD,ABIOMED Inc.,7/19/2018,TRUE,cs,30
37,ABR,Arbor Realty Trust,7/19/2018,TRUE,cs,31
38,ABR-A,Arbor Realty Trust Preferred Series A,7/19/2018,TRUE,ps,32
39,ABR-B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,7/19/2018,TRUE,ps,33
40,ABR-C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,7/19/2018,TRUE,ps,8310
41,ABT,Abbott Laboratories,7/19/2018,TRUE,cs,34
42,ABTX,Allegiance Bancshares Inc.,7/19/2018,TRUE,cs,10446
43,ABUS,Arbutus Biopharma Corporation,7/19/2018,TRUE,cs,6816
44,ABX,Barrick Gold Corporation,7/19/2018,TRUE,cs,39
45,AC,Associated Capital Group Inc.,7/19/2018,TRUE,cs,10827
46,ACAD,ACADIA Pharmaceuticals Inc.,7/19/2018,TRUE,cs,41
47,ACBI,Atlantic Capital Bancshares Inc.,7/19/2018,TRUE,cs,10459
48,ACC,American Campus Communities Inc,7/19/2018,TRUE,cs,44
49,ACCO,Acco Brands Corporation,7/19/2018,TRUE,cs,46
50,ACER,Acer Therapeutics Inc.,7/19/2018,TRUE,cs,5176
51,ACES,ALPS Clean Energy,7/19/2018,TRUE,N/A,14783
52,ACET,Aceto Corporation,7/19/2018,TRUE,cs,49
53,ACGL,Arch Capital Group Ltd.,7/19/2018,TRUE,cs,53
54,ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F,7/19/2018,TRUE,ps,14574
55,ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,7/19/2018,TRUE,ps,14575
56,ACH,Aluminum Corporation of China Limited American Depositary Shares,7/19/2018,TRUE,cs,54
57,ACHC,Acadia Healthcare Company Inc.,7/19/2018,TRUE,cs,55
58,ACHN,Achillion Pharmaceuticals Inc.,7/19/2018,TRUE,cs,56
59,ACHV,Achieve Life Sciences Inc.,7/19/2018,TRUE,cs,5116
60,ACIA,Acacia Communications Inc.,7/19/2018,TRUE,cs,10954
61,ACIM,SPDR MSCI ACWI IMI,7/19/2018,TRUE,et,58
62,ACIU,AC Immune SA,7/19/2018,TRUE,cs,11879
63,ACIW,ACI Worldwide Inc.,7/19/2018,TRUE,cs,59
64,ACLS,Axcelis Technologies Inc.,7/19/2018,TRUE,cs,60
65,ACM,AECOM,7/19/2018,TRUE,cs,61
66,ACMR,ACM Research Inc.,7/19/2018,TRUE,cs,13392
67,ACN,Accenture plc Class A (Ireland),7/19/2018,TRUE,cs,63
68,ACNB,ACNB Corporation,7/19/2018,TRUE,cs,64
69,ACOR,Acorda Therapeutics Inc.,7/19/2018,TRUE,cs,66
70,ACP,Aberdeen Income Credit Strategies Fund,7/19/2018,TRUE,cs,67
